type,alphabet,length,bond_dim,sample_id,rank_Ha,rank_Hp,cap_Ha,cap_Hp,ratio_Ha,ratio_Hp
random,2,8,2,0,2,4,2,4,1.0,1.0
random,2,8,2,1,2,4,2,4,1.0,1.0
random,2,8,2,2,2,4,2,4,1.0,1.0
random,2,8,2,3,2,4,2,4,1.0,1.0
random,2,8,2,4,2,4,2,4,1.0,1.0
random,2,8,2,5,2,4,2,4,1.0,1.0
random,2,8,2,6,2,4,2,4,1.0,1.0
random,2,8,2,7,2,4,2,4,1.0,1.0
random,2,8,2,8,2,4,2,4,1.0,1.0
random,2,8,2,9,2,4,2,4,1.0,1.0
structured_rank1,2,8,2,0,1,1,2,4,0.5,0.25
structured_rank1,2,8,2,1,1,1,2,4,0.5,0.25
structured_rank3,2,8,2,0,2,3,2,4,1.0,0.75
structured_rank3,2,8,2,1,2,3,2,4,1.0,0.75
random,2,8,3,0,3,9,3,9,1.0,1.0
random,2,8,3,1,3,9,3,9,1.0,1.0
random,2,8,3,2,3,9,3,9,1.0,1.0
random,2,8,3,3,3,9,3,9,1.0,1.0
random,2,8,3,4,3,9,3,9,1.0,1.0
random,2,8,3,5,3,9,3,9,1.0,1.0
random,2,8,3,6,3,9,3,9,1.0,1.0
random,2,8,3,7,3,9,3,9,1.0,1.0
random,2,8,3,8,3,9,3,9,1.0,1.0
random,2,8,3,9,3,9,3,9,1.0,1.0
structured_rank1,2,8,3,0,1,1,3,9,0.3333333333333333,0.1111111111111111
structured_rank1,2,8,3,1,1,1,3,9,0.3333333333333333,0.1111111111111111
structured_rank3,2,8,3,0,2,3,3,9,0.6666666666666666,0.3333333333333333
structured_rank3,2,8,3,1,2,3,3,9,0.6666666666666666,0.3333333333333333
random,2,8,4,0,4,16,4,16,1.0,1.0
random,2,8,4,1,4,16,4,16,1.0,1.0
random,2,8,4,2,4,16,4,16,1.0,1.0
random,2,8,4,3,4,16,4,16,1.0,1.0
random,2,8,4,4,4,16,4,16,1.0,1.0
random,2,8,4,5,4,16,4,16,1.0,1.0
random,2,8,4,6,4,16,4,16,1.0,1.0
random,2,8,4,7,4,16,4,16,1.0,1.0
random,2,8,4,8,4,16,4,16,1.0,1.0
random,2,8,4,9,4,16,4,16,1.0,1.0
structured_rank1,2,8,4,0,1,1,4,16,0.25,0.0625
structured_rank1,2,8,4,1,1,1,4,16,0.25,0.0625
structured_rank3,2,8,4,0,2,3,4,16,0.5,0.1875
structured_rank3,2,8,4,1,2,3,4,16,0.5,0.1875
random,2,10,2,0,2,4,2,4,1.0,1.0
random,2,10,2,1,2,4,2,4,1.0,1.0
random,2,10,2,2,2,4,2,4,1.0,1.0
