length,t_star,bond_dim,base_index,epsilon,num_prefixes,num_suffixes,num_sequences,hankel_diff_spec_raw,hankel_diff_fro_raw,hankel_diff_spec_proj,hankel_diff_fro_proj,total_mass_raw_clean,total_mass_raw_noisy,total_mass_proj_clean,total_mass_proj_noisy,kappa_raw_clean,kappa_raw_noisy,kappa_proj_inf_clean,kappa_proj_inf_noisy
5.0,2.0,4.0,0.0,0.001,4.0,8.0,32.0,0.00022567714669104446,0.00046501504660216233,4.4984748257985034e-05,8.558557243976149e-05,0.25336838512372134,0.25349681182052264,0.06620240462487934,0.06621035801525789,0.9970108793799554,0.9965842447481548,0.8113673255113537,0.811435394595499
10.0,5.0,4.0,0.0,0.001,32.0,32.0,1024.0,4.173124766718132e-05,0.00020230104818907797,1.4960970301295976e-05,2.6191981204638624e-05,0.2844531558205176,0.284595611139264,0.06620364972767764,0.06621160223130625,0.9970108793799554,0.9965842447481548,0.8853026326185216,0.8855789897889856
15.0,7.0,4.0,0.0,0.001,128.0,256.0,32768.0,5.126789356353309e-06,5.0867762328807094e-05,2.195969631563632e-06,5.3293122118720995e-06,0.2804093945000423,0.2805813546617291,0.06620364943936116,0.066211601941248,0.9972725501349585,0.9969752420953654,0.8853026326185216,0.8855789897889856
20.0,10.0,4.0,0.0,0.001,256.0,256.0,65536.0,3.404870038032282e-07,3.9495916893421624e-06,4.054775060654391e-08,3.0424447507908504e-07,0.2805736938915843,0.280560727585633,0.06620364943936888,0.0662116019412557,0.9976495387083676,0.9982964242266512,0.8853026326185216,0.8855789897889856
5.0,2.0,4.0,0.0,0.003,4.0,8.0,32.0,0.0006368707985519347,0.0017790272232400556,0.00010989908811309203,0.00026846761751330654,0.25336838512372134,0.25286484627385836,0.06620240462487934,0.06632007880009441,0.9970108793799554,0.9968060353119611,0.8113673255113537,0.8118370443478277
10.0,5.0,4.0,0.0,0.003,32.0,32.0,1024.0,0.00013033757232106864,0.0006987343903697743,4.3994018014025045e-05,9.491363343923832e-05,0.2844531558205176,0.284057475078805,0.06620364972767764,0.06632131295679444,0.9970108793799554,0.9968060353119611,0.8853026326185216,0.8850157910261474
15.0,7.0,4.0,0.0,0.003,128.0,256.0,32768.0,3.009415786660243e-05,0.00012541145906864342,8.695247062913489e-06,1.9728003972745386e-05,0.2804093945000423,0.27989901036122267,0.06620364943936116,0.06632131266892918,0.9972725501349585,0.997232173163518,0.8853026326185216,0.8850157910261474
20.0,10.0,4.0,0.0,0.003,256.0,256.0,65536.0,8.073163173880947e-07,1.1391873484352128e-05,1.841982020452637e-07,1.1077425215267945e-06,0.2805736938915843,0.28116004996108,0.06620364943936888,0.0663213126689369,0.9976495387083676,0.997232173163518,0.8853026326185216,0.8850157910261474
5.0,2.0,4.0,0.0,0.01,4.0,8.0,32.0,0.0020873684112765536,0.008376813804124314,0.0004876051259967724,0.0016246543333449358,0.25336838512372134,0.2551106581227558,0.06620240462487934,0.06638037371446456,0.9970108793799554,0.9919611422094107,0.8113673255113537,0.8116881570442246
10.0,5.0,4.0,0.0,0.01,32.0,32.0,1024.0,0.0008121902893463906,0.002415626125251302,0.0001792948823589251,0.0004071142513775642,0.2844531558205176,0.28243448243170355,0.06620364972767764,0.06638145165824802,0.9970108793799554,0.9919611422094107,0.8853026326185216,0.8878930123006862
15.0,7.0,4.0,0.0,0.01,128.0,256.0,32768.0,3.7220701943409356e-05,0.0004419889633415396,1.197100058960088e-05,8.221235785646915e-05,0.2804093945000423,0.2819852622658896,0.06620364943936116,0.0663814514004566,0.9972725501349585,1.0010478349097753,0.8853026326185216,0.8878930123006862
20.0,10.0,4.0,0.0,0.01,256.0,256.0,65536.0,6.028116394450882e-06,4.881850075206272e-05,8.426861056352417e-07,4.2090993984855386e-06,0.2805736938915843,0.28307017346018937,0.06620364943936888,0.06638145140046267,0.9976495387083676,1.0010478349097753,0.8853026326185216,0.8878930123006862
5.0,2.0,4.0,1.0,0.001,4.0,8.0,32.0,0.00024411567133401793,0.0005486874958456914,0.00010166428101790161,0.00013685722001508855,0.24096780044820693,0.2406963093831956,0.040277503763704973,0.04025318999769792,0.9983807751628699,0.9976915084617933,0.7847392371299851,0.7843933357053257
10.0,5.0,4.0,1.0,0.001,32.0,32.0,1024.0,3.458278521069034e-05,0.00022280666698558163,7.41561671850687e-06,3.184290344934702e-05,0.189190210320773,0.18891810138455403,0.0402774053257687,0.040253090268161276,0.9983807751628699,0.9976915084617933,0.8640828128584457,0.864051140579425
15.0,7.0,4.0,1.0,0.001,128.0,256.0,32768.0,4.653863799695201e-06,5.4747572019193774e-05,2.2991823507718987e-06,7.754537073325336e-06,0.18731127302272252,0.1874002313662579,0.0402774053227699,0.04025309026515235,0.9983807751628699,0.9976915084617933,0.8640828128584457,0.864051140579425
20.0,10.0,4.0,1.0,0.001,256.0,256.0,65536.0,1.358297345290858e-07,2.9936836508554e-06,8.194618219139702e-08,3.8346167138275925e-07,0.1869374413629366,0.18661432182779725,0.04027740532276913,0.040253090265151566,0.9983807751628699,0.9976915084617933,0.8640828128584457,0.864051140579425
5.0,2.0,4.0,1.0,0.003,4.0,8.0,32.0,0.0003962258497344549,0.0011709784370513912,4.7042177566980835e-05,0.0003437614306997961,0.24096780044820693,0.2408265327397837,0.040277503763704973,0.040350407049485316,0.9983807751628699,0.997237987481947,0.7847392371299851,0.7846426358189804
10.0,5.0,4.0,1.0,0.003,32.0,32.0,1024.0,0.0001605306262436016,0.0006829399384541118,4.237909633824946e-05,8.550289279897923e-05,0.189190210320773,0.1898909953852132,0.0402774053257687,0.04035031091549518,0.9983807751628699,0.9981913491889787,0.8640828128584457,0.8636429522435203
15.0,7.0,4.0,1.0,0.003,128.0,256.0,32768.0,3.131381990203737e-05,0.00016064976638681156,6.321083788472353e-06,1.738711966122406e-05,0.18731127302272252,0.18770797065921588,0.0402774053227699,0.04035031091280376,0.9983807751628699,0.9981913491889787,0.8640828128584457,0.8636429522435203
20.0,10.0,4.0,1.0,0.003,256.0,256.0,65536.0,3.158848671509448e-07,8.980782569082319e-06,4.144968449030062e-08,1.2004560548713466e-06,0.1869374413629366,0.18799908466000284,0.04027740532276913,0.04035031091280304,0.9983807751628699,0.9981913491889787,0.8640828128584457,0.8636429522435203
