model,length,sample_size,trial,rank_true,rank_used,delta_hankel,sigma_min_true,sigma_min_emp,mu,kappa_B,F_raw,F_proj,max_error_raw,tv_error_raw,max_error_proj,tv_error_proj,scaled_error_raw,scaled_error_proj,prefixes,suffixes,eval_words,effective_samples,sumB_norm_raw
low,8,1000,1,10,4,0.020725549733923394,0.0,0.014573628049845118,0.28237623612694784,0.9999977894191354,7.999876208292541,8.0,0.09674264453925303,0.5720683796920976,0.23397911485936673,0.9812914565526007,0.0,0.0,16,16,256,1000,3.133383645253854e-09
low,8,1000,2,10,4,0.015906986058942866,4.138197353334842e-10,0.01263878840846658,0.18224755017789004,0.9493376078549403,5.559487870364834,8.0,0.996266738491216,0.9962667384912155,0.04309186702753294,0.5509340695907882,7.415698130067753e-11,2.229033126044922e-12,16,16,256,1000,1.6228400696004485e-07
low,8,1000,3,7,4,0.017082878973478856,6.700799696503936e-10,0.009851271214681047,0.25311687340219613,0.9977671529515892,7.87579503705088,8.0,0.3177145428141734,0.8230157513089572,0.05299506457927215,0.6864571969797882,2.7031448914664615e-11,4.438866408112417e-12,16,16,256,1000,1.0151627609177809e-10
low,8,1000,4,10,4,0.015368978022536789,0.0,0.012126351889135877,0.22120804827756657,0.9719879705261004,6.557166590547997,8.0,0.1883980084998068,0.6856338612203607,0.09143388291885278,0.7748271633222488,0.0,0.0,16,16,256,1000,8.246449115869485e-11
low,8,1000,5,10,4,0.01642785409716697,2.784909931612745e-10,0.006901604969500304,0.3753459091015987,0.968137959154003,6.377503801836653,8.0,0.9414862581925703,0.9895335827109407,0.1321212810498398,0.9676805545257727,4.111254986884234e-11,4.599323347163721e-12,16,16,256,1000,1.4501007523961804e-10
low,8,3000,1,10,4,0.011496678192941012,0.0,0.007547172663672849,0.33744529072418544,0.9984452886482812,7.913341191117258,8.0,0.9192494760232206,0.9608451782267791,0.07063703223469114,0.6397661108396434,0.0,0.0,16,16,256,3000,1.325038832257527e-10
low,8,3000,2,10,4,0.010656320430082855,4.0485576822904964e-10,0.009684897835453914,0.20973068905835382,0.979306174280208,6.9106585509163185,8.0,0.5838317951296785,0.8282113824896592,0.04078695587932063,0.6592811099140555,3.420334953496291e-11,2.0641042945308382e-12,16,16,256,3000,1.0325152745805233e-10
low,8,3000,3,10,4,0.013495093520495773,2.036087394375001e-10,0.0053016153712625285,0.40999070875928756,0.9723454471647072,6.574066338805129,8.0,0.8115479342833426,0.9351624992343761,0.13098290789359843,0.6561897532549925,2.513486225674009e-11,3.3336580955092198e-12,16,16,256,3000,1.886338103507573e-10
low,8,3000,4,10,4,0.015411778327404297,0.0,0.0049670645001497265,0.40027106919477895,0.9738909133065727,6.6475587352529,8.0,0.7799967332050057,0.9050223183070736,0.138385114788699,0.6094472749264132,0.0,0.0,16,16,256,3000,2.0144475049951542e-10
low,8,3000,5,9,4,0.012263321804761144,0.0,0.008351560934462104,0.5414250432250197,0.9997925903923666,7.988392286623962,8.0,0.9998857017218148,0.9998857017218158,0.10412922089782625,0.6836735383285829,0.0,0.0,16,16,256,3000,1.1973106843342742e-10
low,8,10000,1,10,4,0.004827941905757836,3.0126674628181786e-10,0.010138970135412768,0.18283125594613417,0.9926963761125825,7.599850379371087,8.0,0.7714221718402665,0.9136649355474397,0.19331565548870733,0.8078449770642777,3.058005567462272e-11,7.279947316802463e-12,16,16,256,10000,9.862786336477883e-11
