length,t_star,chi_rho,chi_M,measurement,trial,hankel_rank,rank_upper,rank_cap,within_cap,effective_rank,r_eff_1e2,r_eff_1e3,sv_max,sv_min_thresholded,threshold,prefixes,suffixes,d
6,3,2,1,separable,0,2,2,2,1,1.0000001346384348,1,1,0.12500000004135434,8.414902137403097e-09,1.2500000004135434e-09,8,8,2
6,3,2,1,separable,1,2,2,2,1,1.000107950267656,1,1,0.12500001131796293,6.746892359042908e-06,1.2500001131796292e-09,8,8,2
6,3,2,1,separable,2,2,2,2,1,1.0000096059684433,1,1,0.12500085800821892,6.003771487174643e-07,1.2500085800821893e-09,8,8,2
6,3,2,1,separable,3,1,2,2,1,1.0000000129493376,1,1,0.12500000000036884,0.12500000000036884,1.2500000000036884e-09,8,8,2
6,3,2,1,separable,4,2,2,2,1,1.0000930253847546,1,1,0.12500479923267965,5.814309784965634e-06,1.2500479923267966e-09,8,8,2
6,3,2,1,separable,5,2,2,2,1,1.0000064601730407,1,1,0.12500000163655123,4.0376082029499497e-07,1.2500000163655122e-09,8,8,2
6,3,2,1,separable,6,2,2,2,1,1.0000001950647224,1,1,0.12500005309079662,1.2191550330541222e-08,1.2500005309079663e-09,8,8,2
6,3,2,1,separable,7,2,2,2,1,1.0006368592652801,1,1,0.1250228825383574,3.98109945950078e-05,1.250228825383574e-09,8,8,2
6,3,2,1,separable,8,2,2,2,1,1.0000397847594562,1,1,0.1250000054203218,2.486547574819975e-06,1.250000054203218e-09,8,8,2
6,3,2,1,separable,9,2,2,2,1,1.0004746034266911,1,1,0.12507795157688273,2.9681213882357584e-05,1.2507795157688273e-09,8,8,2
6,3,2,1,separable,10,2,2,2,1,1.0000044856193249,1,1,0.12500000326710595,2.803512150914281e-07,1.2500000326710594e-09,8,8,2
6,3,2,1,separable,11,2,2,2,1,1.0000011966119626,1,1,0.12500002651221628,7.478826353663613e-08,1.2500002651221629e-09,8,8,2
6,3,2,1,separable,12,2,2,2,1,1.0000006547351303,1,1,0.12500000335123113,4.092094673442528e-08,1.2500000335123112e-09,8,8,2
6,3,2,1,separable,13,2,2,2,1,1.000006172656755,1,1,0.12500000015207122,3.8579104766226976e-07,1.2500000015207122e-09,8,8,2
6,3,2,1,separable,14,1,2,2,1,1.0000000022758782,1,1,0.12500000009704673,0.12500000009704673,1.2500000009704673e-09,8,8,2
6,3,2,1,separable,15,2,2,2,1,1.0000007359931864,1,1,0.1250000003083556,4.599957425061229e-08,1.2500000030835558e-09,8,8,2
6,3,2,1,separable,16,2,2,2,1,1.0006234598784496,1,1,0.12500627663884,3.896820280611454e-05,1.2500627663884e-09,8,8,2
6,3,2,1,separable,17,2,2,2,1,1.0000340586355934,1,1,0.12500029062595588,2.1286696743754177e-06,1.250002906259559e-09,8,8,2
6,3,2,1,separable,18,2,2,2,1,1.0000718928118961,1,1,0.1250001131410737,4.493304816318567e-06,1.250001131410737e-09,8,8,2
6,3,2,1,separable,19,2,2,2,1,1.0003729895826636,1,1,0.1250003531804007,2.331191559359973e-05,1.2500035318040071e-09,8,8,2
6,3,2,1,separable,20,2,2,2,1,1.0000063341853367,1,1,0.12500001755961712,3.9588663916524625e-07,1.2500001755961713e-09,8,8,2
6,3,2,1,separable,21,2,2,2,1,1.0000562292645958,1,1,0.12500158857277857,3.5143737021257512e-06,1.2500158857277857e-09,8,8,2
6,3,2,1,separable,22,2,2,2,1,1.0002090853670675,1,1,0.1250009054611854,1.3067930243876887e-05,1.250009054611854e-09,8,8,2
6,3,2,1,separable,23,2,2,2,1,1.0000001550411795,1,1,0.1250000000148277,9.690073705576013e-09,1.250000000148277e-09,8,8,2
6,3,2,1,separable,24,1,2,2,1,1.0000000005331207,1,1,0.12500000000017733,0.12500000000017733,1.2500000000017733e-09,8,8,2
6,3,2,1,separable,25,2,2,2,1,1.0054132503883706,1,2,0.1253030681652574,0.0003391509257816192,1.2530306816525742e-09,8,8,2
6,3,2,1,separable,26,2,2,2,1,1.00000850608833,1,1,0.12500083139847168,5.316340566017106e-07,1.2500083139847168e-09,8,8,2
6,3,2,1,separable,27,2,2,2,1,1.0000000900885224,1,1,0.12500000000248881,5.630532641186671e-09,1.2500000000248882e-09,8,8,2
6,3,2,1,separable,28,1,2,2,1,1.0000000000254805,1,1,0.1250000000030518,0.1250000000030518,1.250000000030518e-09,8,8,2
6,3,2,1,separable,29,2,2,2,1,1.00157132102213,1,1,0.1253499967735513,9.848260331674943e-05,1.253499967735513e-09,8,8,2
6,3,2,2,network,0,3,4,4,1,1.0021941292358243,1,2,0.12502767401048212,2.2195908037129826e-09,1.2502767401048213e-09,8,8,2
6,3,2,2,network,1,3,4,4,1,1.0004807847694737,1,1,0.1250129019982057,1.1067172990858685e-06,1.2501290199820569e-09,8,8,2
6,3,2,2,network,2,3,4,4,1,1.0007028941714688,1,1,0.12500925652562625,2.7222967479606654e-09,1.2500925652562625e-09,8,8,2
6,3,2,2,network,3,4,4,4,1,1.0130081232309929,1,2,0.12508770595916932,3.695165083250309e-09,1.2508770595916932e-09,8,8,2
6,3,2,2,network,4,3,4,4,1,1.000350260690185,1,1,0.12500213862885598,9.602064344786632e-09,1.2500213862885599e-09,8,8,2
6,3,2,2,network,5,3,4,4,1,1.0003718973519975,1,1,0.12504472374577075,1.273699147365858e-07,1.2504472374577074e-09,8,8,2
6,3,2,2,network,6,3,4,4,1,1.0040912436317317,1,2,0.12503015314912333,8.762615321384275e-09,1.2503015314912333e-09,8,8,2
6,3,2,2,network,7,3,4,4,1,1.0002387835702202,1,1,0.1250863509500564,4.016884860619235e-09,1.2508635095005641e-09,8,8,2
6,3,2,2,network,8,3,4,4,1,1.001414463488389,1,1,0.12501254621786137,1.0456792236638075e-07,1.2501254621786138e-09,8,8,2
