section,length,d,bond_dim,trial,sample_size,method,K,error_spec,error_fro,p_true,abs_error,sq_error
amplitude,,,,,1000,classical,0,,,0.15,0.0040000000000000036,1.600000000000003e-05
amplitude,,,,,1000,qae,1,,,0.15,0.010633464049177033,0.00011307055768514042
amplitude,,,,,1000,qae,2,,,0.15,0.007884793534434803,6.216996908066487e-05
amplitude,,,,,1000,qae,4,,,0.15,0.001918764180617566,3.681655980820999e-06
amplitude,,,,,1000,qae,8,,,0.15,0.0005229467874666438,2.734733425216831e-07
amplitude,,,,,1000,qae,16,,,0.15,0.0007172621748336439,5.144650274470886e-07
amplitude,,,,,1000,qae,32,,,0.15,2.544842853063889e-05,6.476225146790354e-10
amplitude,,,,,1000,classical,0,,,0.15,0.01999999999999999,0.0003999999999999996
amplitude,,,,,1000,qae,1,,,0.15,0.002023413226230647,4.094201084085116e-06
amplitude,,,,,1000,qae,2,,,0.15,0.004692215707079839,2.201688824176675e-05
amplitude,,,,,1000,qae,4,,,0.15,0.0036952782350226643,1.3655081234232217e-05
amplitude,,,,,1000,qae,8,,,0.15,0.00027366260495223504,7.489122134924307e-08
amplitude,,,,,1000,qae,16,,,0.15,0.0007009605132494157,4.913456411348842e-07
amplitude,,,,,1000,qae,32,,,0.15,0.00022829534919435734,5.211876646377356e-08
amplitude,,,,,1000,classical,0,,,0.15,0.0010000000000000009,1.0000000000000019e-06
amplitude,,,,,1000,qae,1,,,0.15,0.0037676419992893617,1.419512623480914e-05
amplitude,,,,,1000,qae,2,,,0.15,0.009291125225266844,8.632500795158986e-05
amplitude,,,,,1000,qae,4,,,0.15,0.0015776884935358448,2.4891009826354034e-06
amplitude,,,,,1000,qae,8,,,0.15,0.0007257057659142141,5.266488586811361e-07
amplitude,,,,,1000,qae,16,,,0.15,0.0016966455817533643,2.878606230083212e-06
amplitude,,,,,1000,qae,32,,,0.15,0.0005402611429472792,2.9188210257870047e-07
amplitude,,,,,1000,classical,0,,,0.15,0.0030000000000000027,9.000000000000015e-06
amplitude,,,,,1000,qae,1,,,0.15,0.008993365550849147,8.088062393120019e-05
amplitude,,,,,1000,qae,2,,,0.15,0.011312188570145099,0.0001279656102465214
amplitude,,,,,1000,qae,4,,,0.15,0.0016851646179186497,2.8397797894849087e-06
amplitude,,,,,1000,qae,8,,,0.15,0.0021223684626259787,4.5044478911493605e-06
amplitude,,,,,1000,qae,16,,,0.15,0.0008619974332380043,7.430395749089077e-07
amplitude,,,,,1000,qae,32,,,0.15,0.00031797122157314894,1.0110569774872058e-07
amplitude,,,,,1000,classical,0,,,0.15,0.026999999999999996,0.0007289999999999998
amplitude,,,,,1000,qae,1,,,0.15,0.005122979949099743,2.6244923558878007e-05
amplitude,,,,,1000,qae,2,,,0.15,0.00045297930127766173,2.0519024738599863e-07
amplitude,,,,,1000,qae,4,,,0.15,0.003551496588037828,1.2613128014844333e-05
amplitude,,,,,1000,qae,8,,,0.15,0.0007794302214164939,6.075114700573647e-07
amplitude,,,,,1000,qae,16,,,0.15,0.001572055563062058,2.4713586933543644e-06
amplitude,,,,,1000,qae,32,,,0.15,0.00047821346913842766,2.286881220654099e-07
amplitude,,,,,1000,classical,0,,,0.15,0.0050000000000000044,2.5000000000000045e-05
amplitude,,,,,1000,qae,1,,,0.15,0.022374658690891808,0.0005006253515339003
amplitude,,,,,1000,qae,2,,,0.15,0.0016273650674090145,2.6483170626231464e-06
amplitude,,,,,1000,qae,4,,,0.15,0.00033627289081733513,1.130794570986474e-07
amplitude,,,,,1000,qae,8,,,0.15,0.002546719179775253,6.485778580635138e-06
amplitude,,,,,1000,qae,16,,,0.15,0.00011317149649026081,1.2807787617845116e-08
amplitude,,,,,1000,qae,32,,,0.15,1.7875897044772326e-05,3.1954769515529997e-10
amplitude,,,,,1000,classical,0,,,0.15,0.0010000000000000009,1.0000000000000019e-06
amplitude,,,,,1000,qae,1,,,0.15,0.0021552696631206014,4.645187320767991e-06
amplitude,,,,,1000,qae,2,,,0.15,0.005592759643737122,3.127896043261458e-05
amplitude,,,,,1000,qae,4,,,0.15,0.0018998946241032821,3.6095995826965517e-06
amplitude,,,,,1000,qae,8,,,0.15,0.0018688745047240884,3.4926919144077067e-06
amplitude,,,,,1000,qae,16,,,0.15,0.0008232205084882649,6.776920055956774e-07
amplitude,,,,,1000,qae,32,,,0.15,2.9556369671723814e-06,8.735789881715953e-12
amplitude,,,,,1000,classical,0,,,0.15,0.0010000000000000009,1.0000000000000019e-06
amplitude,,,,,1000,qae,1,,,0.15,0.005686784002861073,3.2339512295196603e-05
amplitude,,,,,1000,qae,2,,,0.15,0.0031207961053161537,9.739368330956473e-06
amplitude,,,,,1000,qae,4,,,0.15,0.0025976123562793385,6.747589953495097e-06
amplitude,,,,,1000,qae,8,,,0.15,0.00254097942265194,6.456576426340586e-06
amplitude,,,,,1000,qae,16,,,0.15,0.00033066699610564965,1.0934066231353372e-07
amplitude,,,,,1000,qae,32,,,0.15,0.00042590577429335585,1.8139572857642298e-07
amplitude,,,,,1000,classical,0,,,0.15,0.015999999999999986,0.00025599999999999955
amplitude,,,,,1000,qae,1,,,0.15,0.0021129150023905807,4.464409807327187e-06
amplitude,,,,,1000,qae,2,,,0.15,0.014744600445956546,0.00021740324231090197
amplitude,,,,,1000,qae,4,,,0.15,0.0010091859740658793,1.0184563302512976e-06
amplitude,,,,,1000,qae,8,,,0.15,0.0014535166771564023,2.112710730771789e-06
amplitude,,,,,1000,qae,16,,,0.15,0.00054235559207369,2.9414958825360284e-07
amplitude,,,,,1000,qae,32,,,0.15,0.00015007197358077318,2.252159725442828e-08
amplitude,,,,,1000,classical,0,,,0.15,0.021999999999999992,0.0004839999999999996
amplitude,,,,,1000,qae,1,,,0.15,0.0262094733432241,0.0006869364929291747
amplitude,,,,,1000,qae,2,,,0.15,0.0006543715047800103,4.28202066268055e-07
amplitude,,,,,1000,qae,4,,,0.15,0.002767001315098272,7.656296277755567e-06
amplitude,,,,,1000,qae,8,,,0.15,0.0011308033734496459,1.2787162694050992e-06
amplitude,,,,,1000,qae,16,,,0.15,0.000239547836942966,5.7383166184053826e-08
amplitude,,,,,1000,qae,32,,,0.15,0.0004278892252032873,1.8308918904506954e-07
amplitude,,,,,1000,classical,0,,,0.15,0.0,0.0
amplitude,,,,,1000,qae,1,,,0.15,0.005547485225565196,3.077459232786414e-05
amplitude,,,,,1000,qae,2,,,0.15,0.006469109567529052,4.184937859669592e-05
amplitude,,,,,1000,qae,4,,,0.15,0.003739432015086891,1.3983351795456806e-05
amplitude,,,,,1000,qae,8,,,0.15,0.0004322809377942938,1.868668091803141e-07
amplitude,,,,,1000,qae,16,,,0.15,0.0006526673011134632,4.2597460594273197e-07
amplitude,,,,,1000,qae,32,,,0.15,0.0002003078345841347,4.012322859578507e-08
amplitude,,,,,1000,classical,0,,,0.15,0.009000000000000008,8.100000000000014e-05
amplitude,,,,,1000,qae,1,,,0.15,0.009156223842946065,8.383643506213401e-05
amplitude,,,,,1000,qae,2,,,0.15,0.0031656949405402257,1.0021624456561983e-05
amplitude,,,,,1000,qae,4,,,0.15,0.0020787368071252255,4.321146713297177e-06
amplitude,,,,,1000,qae,8,,,0.15,0.0005349510966269344,2.861726757823597e-07
amplitude,,,,,1000,qae,16,,,0.15,0.00016864673851063605,2.8441722410274852e-08
amplitude,,,,,1000,qae,32,,,0.15,0.00021061958001672432,4.4360607486421336e-08
amplitude,,,,,1000,classical,0,,,0.15,0.013999999999999985,0.00019599999999999956
amplitude,,,,,1000,qae,1,,,0.15,0.01253641162377861,0.00015716161640081142
amplitude,,,,,1000,qae,2,,,0.15,0.005372188041903064,2.886040435756628e-05
amplitude,,,,,1000,qae,4,,,0.15,0.0012114535231635415,1.4676196387853573e-06
amplitude,,,,,1000,qae,8,,,0.15,8.997363559540283e-05,8.09525510225434e-09
amplitude,,,,,1000,qae,16,,,0.15,6.896999850378172e-05,4.756860693611652e-09
amplitude,,,,,1000,qae,32,,,0.15,0.0007212437801134841,5.201925903523879e-07
amplitude,,,,,1000,classical,0,,,0.15,0.009000000000000008,8.100000000000014e-05
amplitude,,,,,1000,qae,1,,,0.15,0.019241177836058415,0.0003702229245188256
amplitude,,,,,1000,qae,2,,,0.15,0.005025852844656259,2.525919681613941e-05
amplitude,,,,,1000,qae,4,,,0.15,0.005129173219921929,2.6308417919964287e-05
amplitude,,,,,1000,qae,8,,,0.15,0.0019086386186108195,3.6429013764526174e-06
amplitude,,,,,1000,qae,16,,,0.15,0.0006804394232584332,4.629978087242692e-07
amplitude,,,,,1000,qae,32,,,0.15,8.872188651434798e-05,7.871573146664842e-09
amplitude,,,,,1000,classical,0,,,0.15,0.007000000000000006,4.9000000000000087e-05
amplitude,,,,,1000,qae,1,,,0.15,0.002514356036022264,6.321986275881592e-06
amplitude,,,,,1000,qae,2,,,0.15,0.004356172954684934,1.8976242811128465e-05
amplitude,,,,,1000,qae,4,,,0.15,0.0020745337596480284,4.303690319919384e-06
amplitude,,,,,1000,qae,8,,,0.15,0.0025434787501124045,6.46928415227336e-06
amplitude,,,,,1000,qae,16,,,0.15,0.0007445799431498867,5.543992917410885e-07
amplitude,,,,,1000,qae,32,,,0.15,0.0002886317357204682,8.330827886501019e-08
amplitude,,,,,1000,classical,0,,,0.15,0.0040000000000000036,1.600000000000003e-05
amplitude,,,,,1000,qae,1,,,0.15,0.014132549881003958,0.000199728966139065
amplitude,,,,,1000,qae,2,,,0.15,0.0023075188936668434,5.3246434446294525e-06
amplitude,,,,,1000,qae,4,,,0.15,0.003949393169271259,1.559770640548648e-05
amplitude,,,,,1000,qae,8,,,0.15,0.0006339023678972044,4.0183221202568275e-07
amplitude,,,,,1000,qae,16,,,0.15,0.0015738860112389785,2.477117176373742e-06
amplitude,,,,,1000,qae,32,,,0.15,1.8506556541425523e-05,3.424926350209798e-10
amplitude,,,,,1000,classical,0,,,0.15,0.011999999999999983,0.0001439999999999996
